title,glass,garnish,recipe,ingredients,raw_ingredients
Clockwork Orange,Collins glass,Orange slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['4.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['7.5 cl', 'Orange juice (freshly squeezed)']]","[['4.5 cl', 'cognac'], ['4.5 cl', 'cognac'], ['7.5 cl', 'orange juice']]"
Clover Leaf Cocktail No.1 (Classic Formula),Martini glass,Mint leaf,SHAKE all ingredients with ice & fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Giffard Grenadine syrup'], ['1.5 cl', 'Pasteurised egg white']]","[['6 cl', 'gin'], ['1.5 cl', 'lemon juice'], ['0.75 cl', 'giffard grenadine syrup'], ['1.5 cl', 'egg white']]"
Club Cocktail (Butt's recipe),Martini glass,Luxardo Maraschino cherry,STIR all ingredients with ice & fine strain into chilled glass.,"[['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Martini Rosso sweet vermouth'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1.5 cl', 'Syrup from Luxardo Maraschino Cherries'], ['3 dash', 'Angostura Aromatic Bitters'], ['2.25 cl', 'Chilled water (omit if using wet ice)']]","[['6 cl', 'white rum'], ['1.5 cl', 'red vermouth'], ['1.5 cl', 'dry vermouth'], ['1.5 cl', 'syrup from luxardo maraschino cherries'], ['3 dash', 'angostura'], ['2.25 cl', 'chilled water']]"
Cobbled Raspberry,Martini glass,3 raspberries on stick,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['2.25 cl', 'Shiraz red wine'], ['0.75 cl', 'Giffard Creme de Framboise'], ['8 fresh', 'Raspberries (fresh)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'vodka'], ['2.25 cl', 'shiraz red wine'], ['0.75 cl', 'giffard creme de framboise'], ['8 fresh', 'raspberries'], ['1 cl', 'sugar syrup']]"
Coco Cabana,Martini glass,Pineapple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Green melon liqueur'], ['4.5 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['6 cl', 'Pineapple juice (fresh pressed)'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)'], ['2.25 cl', 'Single cream / half-and-half']]","[['1.5 cl', 'green melon liqueur'], ['4.5 cl', 'coconut rum liqueur'], ['6 cl', 'pineapple juice'], ['2.25 cl', 'milk'], ['2.25 cl', 'single cream / half-and-half']]"
Coco Naut,Hurricane glass,Pineapple wedge & Luxardo Maraschino cherry,BLEND ingredients with 12oz scoop of crushed ice. Pour into glass and serve with straws.,"[['6 cl', 'White overproof rum'], ['4.5 cl', ""Cream of coconut (e.g. Coco Lopez, Re'al etc.)""], ['3 cl', 'Lime juice (freshly squeezed)']]","[['6 cl', 'white rum'], ['4.5 cl', 'cream of coconut'], ['3 cl', 'lime juice']]"
Coconut Daiquiri,Coupe glass,Lime wedge,SHAKE all ingredients with ice & fine strain into chilled glass.,"[['4 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'Coconut sugar syrup']]","[['4 cl', 'white rum'], ['3 cl', 'coconut rum liqueur'], ['1.5 cl', 'lime juice'], ['1 cl', 'coconut syrup']]"
Coconut Water,Coupe glass,None,STIR all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Ketel One Vodka'], ['6.75 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['0.5 cl', 'Coconut sugar syrup'], ['3.75 cl', 'Chilled water (reduce if wet ice)']]","[['3 cl', 'vodka'], ['6.75 cl', 'coconut rum liqueur'], ['0.5 cl', 'coconut syrup'], ['3.75 cl', 'chilled water']]"
Coffee & Vanilla Daiquiri,Coupe glass,Coffee beans,SHAKE all ingredients with ice & fine strain into chilled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum (infused with vanilla)'], ['3 cl', 'Coffee liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2.25 cl', 'Chilled water (omit if using wet ice)']]","[['6 cl', 'white rum'], ['3 cl', 'coffee liqueur'], ['1.5 cl', 'lime juice'], ['0.5 cl', 'sugar syrup'], ['2.25 cl', 'chilled water']]"
Cola de Mono,Martini glass,Dust with cinnamon powder,"MUDDLE cinnamon stick and pisco in base of shaker. Add other ingredients, SHAKE with ice and fine strain into a chilled glass.","[['1 inch', 'Cinnamon stick'], ['6 cl', 'BarSol Mosto Verde Italia Pisco'], ['3 cl', 'Espresso coffee (freshly made & hot)'], ['3 cl', 'Coffee liqueur']]","[['1 inch', 'cinnamon stick'], ['6 cl', 'barsol mosto verde italia pisco'], ['3 cl', 'espresso coffee'], ['3 cl', 'coffee liqueur']]"
Cold Comfort,Old-fashioned glass,Lime wedge or slice wheel,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'White overproof rum'], ['2.25 cl', 'Honey syrup (3 honey to 1 water)'], ['2.25 cl', 'Lime juice (freshly squeezed)']]","[['4.5 cl', 'white rum'], ['2.25 cl', 'honey syrup'], ['2.25 cl', 'lime juice']]"
Collar & Cuff,Toddy glass,Lemon slice,"PLACE bar spoon in glass, add ingredients & STIR.","[['2 spoon', 'Honey'], ['3 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Ginger liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['Top up with', 'Boiling water']]","[['2 spoon', 'honey'], ['3 cl', 'scotch whisky'], ['3 cl', 'gin'], ['3 cl', 'lemon juice'], ['Top up with', 'boiling water']]"
Collection Cocktail,Martini glass,Lime wedge,SHAKE all ingredients with ice & fine strain into chilled glass.,"[['2.25 cl', 'Ketel One Vodka'], ['2.25 cl', 'Ketel One Citroen Vodka'], ['2.25 cl', 'Bénédictine D.O.M.'], ['2.25 cl', 'Giffard Crème de Mûre liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)']]","[['2.25 cl', 'vodka'], ['2.25 cl', 'vodka'], ['2.25 cl', 'bénédictine d.o.m.'], ['2.25 cl', 'giffard crème de mûre liqueur'], ['1.5 cl', 'lime juice']]"
Genever Collins,Collins glass,Orange slice & Luxardo Maraschino cherry on stick (sail),SHAKE first 3 ingredients with ice & strain into ice-filled glass. TOP with soda.,"[['6 cl', 'Rutte Old Simon Genever'], ['2.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['5 cl', 'Thomas Henry Soda Water']]","[['6 cl', 'rutte old simon genever'], ['2.5 cl', 'lemon juice'], ['1.5 cl', 'sugar syrup'], ['5 cl', 'soda water']]"
Colonel Collins,Collins glass,Orange slice & Luxardo Maraschino cherry on stick (sail),"SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda, stir and serve with straws.","[['6 cl', 'Bourbon whiskey'], ['2.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['5 cl', 'Thomas Henry Soda Water']]","[['6 cl', 'bourbon whiskey'], ['2.5 cl', 'lemon juice'], ['1.5 cl', 'sugar syrup'], ['5 cl', 'soda water']]"
Colonel T,Sling glass,Pineapple wedge on rim,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['5 cl', 'Bourbon whiskey'], ['2.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['6 cl', 'Pineapple juice (fresh pressed)']]","[['5 cl', 'bourbon whiskey'], ['2.5 cl', 'apricot brandy liqueur'], ['6 cl', 'pineapple juice']]"
Colonial Rot,Collins glass,Mint sprig,"Lightly MUDDLE mint in base of shaker just enough to bruise. Add next 4 ingredients, SHAKE with ice and fine strain into ice-filled glass. TOP with half soda and half lemonade.","[['7 fresh', 'Mint leaves'], ['1.5 cl', 'La Fée Parisienne absinthe'], ['3 cl', 'Ketel One Citroen Vodka'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Lemon-lime soda (Sprite/7-Up)'], ['Splash', 'Thomas Henry Soda Water']]","[['7 fresh', 'mint leaves'], ['1.5 cl', 'absinthe'], ['3 cl', 'vodka'], ['1.5 cl', 'sugar syrup'], ['1.5 cl', 'lime juice'], ['Top up with', 'lemon-lime soda'], ['Splash', 'soda water']]"
Colorado Bulldog,Old-fashioned glass,None,SHAKE first 3 ingredients with ice and strain into ice-filled glass. TOP with cola.,"[['4.5 cl', 'Ketel One Vodka'], ['2.25 cl', 'Coffee liqueur'], ['2.25 cl', 'Single cream / half-and-half'], ['3 cl', 'Cola (e.g. Coca Cola & Pepsi Cola)']]","[['4.5 cl', 'vodka'], ['2.25 cl', 'coffee liqueur'], ['2.25 cl', 'single cream / half-and-half'], ['3 cl', 'cola']]"
Congo Blue,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4 cl', 'Bison grass vodka'], ['1.5 cl', 'Green melon liqueur'], ['0.5 cl', 'Giffard Crème de Mûre liqueur'], ['3 cl', 'Apple juice'], ['0.75 cl', 'Lemon juice (freshly squeezed)']]","[['4 cl', 'vodka'], ['1.5 cl', 'green melon liqueur'], ['0.5 cl', 'giffard crème de mûre liqueur'], ['3 cl', 'apple juice'], ['0.75 cl', 'lemon juice']]"
Cool Martini,Martini glass,Apple fan,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Green melon liqueur'], ['3 cl', 'Patrón Reposado tequila'], ['4.5 cl', 'Cranberry juice (sweetened)']]","[['4.5 cl', 'green melon liqueur'], ['3 cl', 'tequila'], ['4.5 cl', 'cranberry juice']]"
Cool Orchard,Old-fashioned glass,Pineapple wedge & Luxardo Maraschino cherry,"MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.","[['2 slice', 'Root ginger (thumbnail-sized slice)'], ['4.5 cl', 'Havana Club 7yo rum'], ['1.5 cl', 'Ginger sugar syrup'], ['0.75 cl', 'Giffard Orgeat Syrup'], ['3 cl', 'Pineapple juice (fresh pressed)'], ['0.75 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Giffard Vanille de Madagascar']]","[['2 slice', 'gin'], ['4.5 cl', 'amber rum'], ['1.5 cl', 'gin'], ['0.75 cl', 'giffard orgeat syrup'], ['3 cl', 'pineapple juice'], ['0.75 cl', 'lime juice'], ['1.5 cl', 'giffard vanille de madagascar']]"
Coolman Cocktail,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.5 cl', 'Ketel One Vodka'], ['2.5 cl', 'De Kuyper Triple Sec (40%)'], ['5 cl', 'Apple juice'], ['0.5 cl', 'Lemon juice (freshly squeezed)']]","[['2.5 cl', 'vodka'], ['2.5 cl', 'triple sec'], ['5 cl', 'apple juice'], ['0.5 cl', 'lemon juice']]"
Copper Illusion,Old-fashioned glass,Orange zest twist,STIR all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Italian red bitter liqueur']]","[['4.5 cl', 'gin'], ['2.25 cl', 'triple sec'], ['2.25 cl', 'italian red bitter liqueur']]"
Cordless Screwdriver,Shot glass,Sugar coated orange slice,POUR vodka and champagne into glass and serve. Instruct drinker to down in one and then bite into the orange wedge.,"[['3 cl', 'Ketel One Oranje Vodka'], ['Top up with', 'Brut Champagne']]","[['3 cl', 'vodka'], ['Top up with', 'brut champagne']]"
Coronation,Collins glass,Luxardo Maraschino cherry. Serve with a straw.,STIR first 5 ingredients with ice and strain into ice-filled glass. TOP with soda and stir.,"[['3 cl', 'Fino sherry'], ['6 cl', 'Sauvignon blanc wine'], ['0.75 cl', 'Luxardo Maraschino liqueur'], ['3 cl', 'Martini Extra Dry vermouth'], ['2 dash', 'Angostura Aromatic Bitters'], ['Top up with', 'Thomas Henry Soda Water']]","[['3 cl', 'fino sherry'], ['6 cl', 'sauvignon blanc wine'], ['0.75 cl', 'maraschino'], ['3 cl', 'dry vermouth'], ['2 dash', 'angostura'], ['Top up with', 'soda water']]"
Coronation Cocktail No.1,Coupe glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Fino sherry'], ['4.5 cl', 'Martini Extra Dry vermouth'], ['0.5 cl', 'Luxardo Maraschino liqueur'], ['2 dash', 'Orange Bitters by Angostura'], ['0.125 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup) (optional)']]","[['4.5 cl', 'fino sherry'], ['4.5 cl', 'dry vermouth'], ['0.5 cl', 'maraschino'], ['2 dash', 'angostura'], ['0.125 cl', 'sugar syrup']]"
Corpse Reviver No.1 (Savoy recipe),Martini glass,Orange zest twist,STIR ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Avallen Calvados'], ['2.25 cl', 'Martini Rosso sweet vermouth'], ['1 cl', 'Chilled water (omit if using wet ice)']]","[['4.5 cl', 'cognac'], ['2.25 cl', 'calvados'], ['2.25 cl', 'red vermouth'], ['1 cl', 'chilled water']]"
Cosmopolitan Cocktail (Difford's recipe),Coupe glass,Orange zest twist (flamed),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Ketel One Vodka'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 dash', 'Orange Bitters by Angostura']]","[['3 cl', 'vodka'], ['3 cl', 'triple sec'], ['4.5 cl', 'cranberry juice'], ['1.5 cl', 'lime juice'], ['1 dash', 'angostura']]"
Cosmopolitan Cocktail (Dale DeGroff's recipe),Martini glass,Orange zest twist (flamed),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Citroen Vodka'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['3 cl', 'Cranberry juice (sweetened)'], ['0.75 cl', 'Lime juice (freshly squeezed)']]","[['4.5 cl', 'vodka'], ['1.5 cl', 'triple sec'], ['3 cl', 'cranberry juice'], ['0.75 cl', 'lime juice']]"
Cosmopolitan Delight,Martini glass,Orange zest twist (flamed),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['3.75 cl', 'Shiraz red wine'], ['0.75 cl', 'Giffard Orgeat Syrup'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['4.5 cl', 'cognac'], ['1.5 cl', 'cognac'], ['3.75 cl', 'shiraz red wine'], ['0.75 cl', 'giffard orgeat syrup'], ['2.25 cl', 'lemon juice'], ['0.75 cl', 'sugar syrup']]"
Country Breeze,Collins glass,Seasonal berries or apple slice wheel,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Giffard Noir de Bourgogne Cassis'], ['9 cl', 'Apple juice']]","[['4.5 cl', 'gin'], ['1.5 cl', 'giffard noir de bourgogne cassis'], ['9 cl', 'apple juice']]"
Cowboy Hoof Martini,Martini glass,Orange zest twist,SHAKE all ingredients (including mint) with ice and fine strain into chilled glass.,"[['5 fresh', 'Mint leaves'], ['7.5 cl', 'Rutte Dry Gin'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Orange Bitters by Angostura (optional)']]","[['5 fresh', 'mint leaves'], ['7.5 cl', 'gin'], ['0.5 cl', 'sugar syrup'], ['2 dash', 'angostura']]"
Cox's Daiquiri,Martini glass,Cox's apple ring (in memory of Jennings Cox),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Havana Club 3 Year Old rum (infused with vanilla)'], ['1 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Pineapple juice (fresh pressed)'], ['0.5 cl', 'Vanilla sugar syrup'], ['3 drop', ""Difford's Daiquiri Bitters (optional)""]]","[['6 cl', 'white rum'], ['1 cl', 'lime juice'], ['2.25 cl', 'pineapple juice'], ['0.5 cl', 'vanilla sugar syrup'], ['3 drop', ""difford's daiquiri bitters""]]"
Cranapple Breeze,Collins glass,Lime slice,SHAKE first five ingredients with ice and strain into ice-filled glass. TOP with ginger ale and stir.,"[['3 cl', 'Ketel One Citroen Vodka'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['3 cl', 'Cranberry juice (sweetened)'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Ginger Ale']]","[['3 cl', 'vodka'], ['3 cl', 'triple sec'], ['3 cl', 'cranberry juice'], ['3 cl', 'apple juice'], ['1.5 cl', 'lime juice'], ['Top up with', 'gin']]"
Cranberry Cooler,Collins glass,Orange slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Disaronno amaretto'], ['6 cl', 'Cranberry juice (sweetened)'], ['6 cl', 'Orange juice (freshly squeezed)']]","[['6 cl', 'amaretto'], ['6 cl', 'cranberry juice'], ['6 cl', 'orange juice']]"
Cranberry & Mint Cocktail,Martini glass,Cranberries & mint leaf,"Lightly MUDDLE mint in base of shaker just enough to bruise. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['8 fresh', 'Mint leaves'], ['6 cl', 'Ketel One Vodka'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['0.75 cl', 'Giffard Grenadine syrup']]","[['8 fresh', 'mint leaves'], ['6 cl', 'vodka'], ['4.5 cl', 'cranberry juice'], ['0.75 cl', 'giffard grenadine syrup']]"
Cranberry Sauce,Martini glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['2.25 cl', 'Cranberry liqueur'], ['7.5 cl', 'Cranberry juice (sweetened)'], ['0.75 cl', 'Lime juice (freshly squeezed)']]","[['6 cl', 'vodka'], ['2.25 cl', 'cranberry liqueur'], ['7.5 cl', 'cranberry juice'], ['0.75 cl', 'lime juice']]"
Creamsicle,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Ketel One Oranje Vodka'], ['3 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Single cream / half-and-half'], ['1.5 cl', 'Milk (semi-skimmed/2% fat)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['3 cl', 'vodka'], ['3 cl', 'cognac'], ['1.5 cl', 'single cream / half-and-half'], ['1.5 cl', 'milk'], ['0.75 cl', 'sugar syrup']]"
Creamy Bee,Coupe glass,Cinnamon & sugar rim with raspberry,SHAKE all ingredients with ice and fine strain into chilled glass,"[['4.5 cl', 'Honey liqueur (spiced)'], ['1.5 cl', 'Irish cream liqueur'], ['1.5 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['1.5 cl', 'Hazelnut liqueur'], ['0.75 cl', 'Cinnamon schnapps & Goldwasser liqueurs']]","[['4.5 cl', 'honey liqueur'], ['1.5 cl', 'irish cream'], ['1.5 cl', 'giffard framboise de ronce'], ['1.5 cl', 'hazelnut liqueur'], ['0.75 cl', 'cinnamon schnapps & goldwasser liqueurs']]"
Creamy Creamsicle,Coupe glass,None,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Ketel One Oranje Vodka'], ['3.75 cl', 'Disaronno amaretto'], ['3 cl', 'Orange juice (freshly squeezed)'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)'], ['2.25 cl', 'Single cream / half-and-half']]","[['1.5 cl', 'vodka'], ['3.75 cl', 'amaretto'], ['3 cl', 'orange juice'], ['2.25 cl', 'milk'], ['2.25 cl', 'single cream / half-and-half']]"
Cream Cake,Martini glass,Crumbled Cadbury's Flake bar,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3.75 cl', 'Irish cream liqueur'], ['3.75 cl', 'Peachtree peach schnapps'], ['3.75 cl', 'Disaronno amaretto'], ['3 cl', 'Single cream / half-and-half']]","[['3.75 cl', 'irish cream'], ['3.75 cl', 'peachtree peach schnapps'], ['3.75 cl', 'amaretto'], ['3 cl', 'single cream / half-and-half']]"
Crème Anglaise Cocktail,Nick & Nora glass,Dust with chocolate powder,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2 cl', 'Absolut Vanilia vodka'], ['4 cl', 'Warninks Advocaat liqueur'], ['1 cl', 'Single cream / half-and-half']]","[['2 cl', 'vodka'], ['4 cl', 'warninks advocaat liqueur'], ['1 cl', 'single cream / half-and-half']]"
Crème Brûlée Cocktail,Coupe glass,Dust with cinnamon powder,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Absolut Vanilia vodka'], ['1.5 cl', 'Giffard Caramel Toffee liqueur'], ['2.25 cl', 'Licor 43 Original liqueur'], ['3 cl', 'Single cream / half-and-half'], ['1⁄2 fresh', 'Egg yolk']]","[['6 cl', 'vodka'], ['1.5 cl', 'giffard caramel toffee liqueur'], ['2.25 cl', 'gin'], ['3 cl', 'single cream / half-and-half'], ['1⁄2 fresh', 'egg white']]"
Crème de Café,Old-fashioned glass,None,SHAKE ingredients with ice and strain into ice-filled glass.,"[['2.25 cl', 'Havana Club 3 Year Old rum'], ['3 cl', 'Coffee liqueur'], ['2.25 cl', 'Luxardo Sambuca'], ['5 cl', 'Single cream / half-and-half']]","[['2.25 cl', 'white rum'], ['3 cl', 'coffee liqueur'], ['2.25 cl', 'luxardo sambuca'], ['5 cl', 'single cream / half-and-half']]"
Crimson Blush,Martini glass,Seasonal berries,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Citroen Vodka'], ['1.5 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['6 cl', 'Grapefruit juice (pink)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'vodka'], ['1.5 cl', 'giffard framboise de ronce'], ['6 cl', 'grapefruit juice'], ['0.75 cl', 'sugar syrup']]"
Crouching Tiger,Shot glass,None,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.25 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Kwai Feh lychee liqueur']]","[['2.25 cl', 'tequila'], ['1.5 cl', 'kwai feh lychee liqueur']]"
Crown Stag,Old-fashioned glass,Lemon slice,SHAKE ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['4.5 cl', 'Jägermeister'], ['3 cl', 'Giffard Framboise de Ronce (raspberry liqueur)']]","[['4.5 cl', 'vodka'], ['4.5 cl', 'jägermeister'], ['3 cl', 'giffard framboise de ronce']]"
Cuba Libre,Collins glass,Lime wedge,POUR ingredients into ice-filled glass and lightly stir.,"[['5 cl', 'Havana Club 3 Year Old rum'], ['0.5 cl', 'Lime juice (freshly squeezed)'], ['1 dash', 'Angostura Aromatic Bitters'], ['12 cl', 'Cola (e.g. Coca Cola & Pepsi Cola)']]","[['5 cl', 'white rum'], ['0.5 cl', 'lime juice'], ['1 dash', 'angostura'], ['12 cl', 'cola']]"
Cuban Master,Collins glass,None,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'Rémy Martin 1738 Cognac'], ['4.5 cl', 'Orange juice (freshly squeezed)'], ['4.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['4.5 cl', 'white rum'], ['3 cl', 'cognac'], ['4.5 cl', 'orange juice'], ['4.5 cl', 'pineapple juice'], ['1.5 cl', 'lemon juice'], ['0.75 cl', 'sugar syrup']]"
Cuban Special,Old-fashioned glass,Orange zest twist,SHAKE ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['6 cl', 'Pineapple juice (fresh pressed)'], ['0.75 cl', 'Lime juice (freshly squeezed)']]","[['4.5 cl', 'white rum'], ['2.25 cl', 'triple sec'], ['6 cl', 'pineapple juice'], ['0.75 cl', 'lime juice']]"
Cubanita,Collins glass,Lime wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['10.5 cl', 'Tomato juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['7 dash', 'Hot pepper sauce (red)'], ['4 dash', 'Worcestershire sauce'], ['1⁄2 spoon', 'Horseradish sauce'], ['2 pinch', 'Celery salt'], ['2 pinch', 'Black pepper']]","[['6 cl', 'white rum'], ['10.5 cl', 'tomato juice'], ['1.5 cl', 'lemon juice'], ['7 dash', 'hot pepper sauce'], ['4 dash', 'worcestershire sauce'], ['1⁄2 spoon', 'horseradish sauce'], ['2 pinch', 'celery salt'], ['2 pinch', 'black pepper']]"
Cucumber Martini,Martini glass,Cucumber peel,"MUDDLE cucumber in base of shaker. Add other ingredients, SHAKE with ice and strain into glass.","[['3 cl', 'Ketel One Vodka'], ['3 cl', 'Bison grass vodka'], ['2 inch', 'Cucumber (fresh) (chopped)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['3 cl', 'vodka'], ['3 cl', 'vodka'], ['2 inch', 'cucumber'], ['1.5 cl', 'sugar syrup']]"
Cucumber & Mint Martini,Martini glass,Cucumber slices,"MUDDLE cucumber and mint in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['2 inch', 'Cucumber (fresh)'], ['7 fresh', 'Mint leaves'], ['6 cl', 'Ketel One Vodka'], ['3 cl', 'Apple juice'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['2 inch', 'cucumber'], ['7 fresh', 'mint leaves'], ['6 cl', 'vodka'], ['3 cl', 'apple juice'], ['0.75 cl', 'sugar syrup']]"
Cucumber Sake-Tini,Martini glass,Cucumber slices,"MUDDLE cucumber in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1 1⁄2 inch', 'Cucumber (fresh)'], ['4.5 cl', 'Ketel One Vodka'], ['4.5 cl', 'Sake'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['1 1⁄2 inch', 'cucumber'], ['4.5 cl', 'vodka'], ['4.5 cl', 'sake'], ['0.75 cl', 'sugar syrup']]"
Cumbersome,Coupe glass,Float thin cucumber slice,"MUDDLE cucumber in base of shaker. Add other ingredients, SHAKE with ice and fine strain into a chilled glass.","[['4 inch', 'Cucumber (fresh)'], ['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Italian red bitter liqueur'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['4 inch', 'cucumber'], ['6 cl', 'gin'], ['1.5 cl', 'italian red bitter liqueur'], ['3 cl', 'orange juice'], ['1.5 cl', 'sugar syrup']]"
