title,glass,garnish,recipe,ingredients,raw_ingredients
Running Through Orchards,Coupe glass,Grated cinnamon,"Combine and shake all ingredients with ice, then strain into a chilled coupe glass.","[['3 cl', 'Vodka'], ['1.5 cl', 'St. George Spiced Pear Liqueur'], ['1.5 cl', 'Elderflower liqueur'], ['0.35 cl', 'Cointreau triple sec liqueur'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1 Splash', ""'Simple' sugar syrup (1 sugar to 1 water)""], ['2 dash', 'Angostura Aromatic Bitters']]","[['3 cl', 'vodka'], ['1.5 cl', 'st. george spiced pear liqueur'], ['1.5 cl', 'elderflower liqueur'], ['0.35 cl', 'triple sec'], ['2.25 cl', 'lemon juice'], ['1 Splash', 'sugar syrup'], ['2 dash', 'angostura']]"
Gingerbread Daiquiri,Coupe glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Gingerbread sugar syrup']]","[['6 cl', 'white rum'], ['1.5 cl', 'lime juice'], ['1.5 cl', 'gin']]"
Triple A Sour,Coupe glass,"Lemon zest twist, over the glass and discard",SHAKE all ingredients with ice and fine-strain into a chilled glass.,"[['6 cl', 'Applejack brandy'], ['3 cl', 'Ancho Reyes chile liqueur'], ['1.5 cl', 'Aperol Aperitivo'], ['1.5 cl', 'Maple syrup'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['3 drops', 'Bittermens Hellfire Habanero Shrub']]","[['6 cl', 'applejack brandy'], ['3 cl', 'ancho reyes chile liqueur'], ['1.5 cl', 'aperol'], ['1.5 cl', 'maple syrup'], ['1.5 cl', 'lemon juice'], ['3 drops', 'bittermens hellfire habanero shrub']]"
Grand Pini,Martini glass,Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Pisco'], ['1.5 cl', 'Grand Marnier liqueur'], ['0.75 cl', 'Dutch Cacao white crème de cacao']]","[['6 cl', 'pisco'], ['1.5 cl', 'grand marnier'], ['0.75 cl', 'dutch cacao white crème de cacao']]"
Reconstructed Surfer On Acid Cocktail,Old-fashioned glass,Pineapple Frond,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Jägermeister'], ['3 cl', ""Plantation Stiggins' Fancy Pineapple Rum""], ['3 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Orgeat (almond) sugar syrup'], ['1.5 cl', 'Lime juice (freshly squeezed)']]","[['4.5 cl', 'jägermeister'], ['3 cl', 'gin'], ['3 cl', 'pineapple juice'], ['1.5 cl', 'orgeat syrup'], ['1.5 cl', 'lime juice']]"
Sean's Passion Fruit Gin Daiquiri,Coupe glass,Mint Sprig,"Cut passion fruits in half and scoop out flesh into shaker (saving one half for garnish). Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['2.5 cl', 'Passion fruit puree'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['4.5 cl', 'Bombay Sapphire Gin']]","[['2.5 cl', 'passion fruit puree'], ['1.5 cl', 'lime juice'], ['1.5 cl', 'sugar syrup'], ['4.5 cl', 'gin']]"
The Playdate,Coupe glass,Garnish each glass with a single Luxardo Maraschino Cherry.,"Add the Luxardo Maraschino Cherry to the glass ahead of time. Shake the cocktail with ice. Pour it into the cocktail glass, then add a splash of club soda.","[['9 cl', 'Reposado mezcal'], ['3 cl', 'Cointreau triple sec liqueur'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'La Fée Parisienne absinthe'], ['0.75 cl', 'St-Germain elderflower liqueur'], ['1 Splash', 'Soda (club soda) water'], ['2 whole', 'Syrup from Luxardo Maraschino Cherries']]","[['9 cl', 'mezcal'], ['3 cl', 'triple sec'], ['3 cl', 'lime juice'], ['1.5 cl', 'absinthe'], ['0.75 cl', 'st-germain elderflower liqueur'], ['1 Splash', 'soda water'], ['2 whole', 'syrup from luxardo maraschino cherries']]"
Aldo's Breakfast in Mexico City,Coupe glass,Orange zest twist,"STIR marmalade with bourbon to dissolve marmalade. Add other ingredients, STIR with ice and fine strain into chilled glass.","[['1 spoon', 'Orange marmalade'], ['1.5 cl', 'Rosso/rouge (sweet) vermouth'], ['1 dash', 'Orange bitters'], ['6 cl', 'Añejo 100% agave tequila']]","[['1 spoon', 'orange marmalade'], ['1.5 cl', 'red vermouth'], ['1 dash', 'orange bitters'], ['6 cl', 'tequila']]"
McKinley's Delight,Coupe glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['2.5 cl', 'Martini Rosso sweet vermouth'], ['0.5 cl', 'Cherry Heering cherry brandy liqueur'], ['1 dash', 'La Fée Parisienne absinthe']]","[['5 cl', 'rye whiskey'], ['2.5 cl', 'red vermouth'], ['0.5 cl', 'cherry brandy liqueur'], ['1 dash', 'absinthe']]"
Favorite,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Rutte Dry Gin'], ['3 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Martini Extra Dry vermouth'], ['0.5 cl', 'Lemon juice (freshly squeezed)']]","[['3 cl', 'gin'], ['3 cl', 'apricot brandy liqueur'], ['3 cl', 'dry vermouth'], ['0.5 cl', 'lemon juice']]"
